id	code	year	hci	ppi	est	grossoutput	inv_tot	valueadded	workers	y_n	avg_size	lab_sh	y_sh	hci_share_use_tot_0	hci_share_make_tot_0	lf_hci_link_use_0	lf_hci_link_make_0
31314	"31314"	1971	0	8.861	13	9287.891	54.814641	4570.59	361	12.660915	27.769231	.0390633	.0542454	.0182796	0	.1164654	.2253967
31314	"31314"	1972	0	9.7499	18	9518.046	23.34605	4543.636	352	12.908058	19.555556	.0324698	.0473415	.0182796	0	.1164654	.2253967
31321	"31321"	1970	0	10.418	1499	138625.5	980.49485	70886.92	13456	5.2680533	8.9766511	1.422327	.9954588	.0221245	0	.1213831	.3389162
31321	"31321"	1971	0	10.6849	1408	187910	1078.0213	102883.5	11842	8.6880177	8.4105114	1.281408	1.221059	.0221245	0	.1213831	.3389162
31321	"31321"	1972	0	12.0975	1288	278975	1713.0165	137127.5	11763	11.657528	9.132764	1.085065	1.428773	.0221245	0	.1213831	.3389162
31322	"31322"	1970	0	10.418	17	52591.67	686.03314	35016.32	1331	26.308277	78.294118	.1406895	.491731	.0197392	0	.1084467	.1558495
31322	"31322"	1971	0	10.6849	14	63959.42	1967.2365	43631.67	1312	33.255843	93.714286	.1419698	.5178367	.0197392	0	.1084467	.1558495
31322	"31322"	1972	0	12.0975	12	59896.67	1911.4579	32874.56	1673	19.650067	139.41667	.154324	.3425301	.0197392	0	.1084467	.1558495
313310	"3133F"	1970	0	12.57135	46	15678.51	8367.0982	5043.213	2649	1.9038178	57.586957	.2800049	.0708214	.0139119	0	.0936722	.2753049
313310	"3133F"	1971	0	12.69965	50	227966.9	21067.094	174327.6	2475	70.435411	49.5	.2678166	2.068985	.0139119	0	.0936722	.2753049
